occ,naq,bre,hdf,pll,nor,pac,cor
0.873,0.78,0.131,0.211,0.926,0.857,0.5,0.799
0.899,0.758,0.131,0.165,0.936,0.854,0.456,0.788
0.927,0.75,0.132,0.132,0.953,0.862,0.385,0.79
0.956,0.758,0.141,0.115,0.964,0.873,0.29,0.795
0.974,0.778,0.174,0.109,0.959,0.881,0.199,0.802
0.977,0.794,0.2,0.111,0.933,0.868,0.187,0.785
0.968,0.802,0.192,0.138,0.906,0.846,0.231,0.716
0.959,0.807,0.174,0.183,0.896,0.823,0.331,0.649
0.931,0.808,0.143,0.22,0.859,0.816,0.397,0.618
0.9,0.809,0.118,0.225,0.811,0.814,0.43,0.603
0.901,0.815,0.108,0.2,0.753,0.8,0.489,0.555
0.895,0.822,0.11,0.166,0.729,0.765,0.497,0.547
0.87,0.824,0.118,0.126,0.731,0.733,0.43,0.572
0.848,0.819,0.13,0.087,0.725,0.716,0.383,0.622
0.835,0.815,0.147,0.064,0.705,0.698,0.428,0.614
0.835,0.827,0.167,0.052,0.698,0.676,0.461,0.575
0.845,0.831,0.196,0.044,0.655,0.645,0.395,0.549
0.849,0.836,0.223,0.038,0.568,0.602,0.365,0.553
0.85,0.846,0.234,0.037,0.516,0.559,0.387,0.57
0.854,0.857,0.234,0.05,0.46,0.497,0.43,0.583
0.901,0.875,0.268,0.067,0.34,0.422,0.481,0.563
0.927,0.909,0.322,0.076,0.287,0.373,0.491,0.593
0.928,0.917,0.396,0.084,0.292,0.332,0.431,0.66
0.929,0.908,0.508,0.109,0.338,0.334,0.337,0.681
0.926,0.897,0.578,0.146,0.434,0.364,0.215,0.691
0.926,0.887,0.641,0.207,0.532,0.388,0.15,0.681
0.928,0.877,0.709,0.288,0.602,0.404,0.156,0.665
0.937,0.871,0.749,0.392,0.645,0.407,0.187,0.671
0.943,0.866,0.76,0.473,0.684,0.378,0.216,0.703
0.923,0.836,0.761,0.491,0.683,0.313,0.242,0.761
0.87,0.8,0.796,0.554,0.653,0.266,0.274,0.803
0.81,0.771,0.805,0.626,0.619,0.229,0.317,0.816
0.758,0.749,0.789,0.658,0.568,0.187,0.357,0.816
0.744,0.744,0.778,0.653,0.481,0.167,0.361,0.819
0.725,0.736,0.772,0.653,0.382,0.149,0.378,0.822
0.714,0.742,0.775,0.663,0.29,0.129,0.412,0.826
0.704,0.732,0.766,0.672,0.221,0.11,0.479,0.823
0.698,0.707,0.75,0.67,0.181,0.089,0.544,0.817
0.689,0.679,0.733,0.663,0.155,0.068,0.607,0.828
0.68,0.648,0.728,0.662,0.122,0.055,0.652,0.818
0.671,0.617,0.735,0.657,0.096,0.058,0.646,0.781
0.671,0.586,0.735,0.66,0.068,0.081,0.723,0.774
0.68,0.558,0.724,0.642,0.046,0.115,0.764,0.729
0.676,0.553,0.705,0.645,0.029,0.154,0.694,0.671
0.67,0.568,0.663,0.596,0.017,0.178,0.65,0.612
0.663,0.639,0.657,0.65,0.009,0.187,0.593,0.615
0.627,0.725,0.631,0.665,0.01,0.187,0.625,0.632
0.557,0.781,0.583,0.685,0.006,0.177,0.647,0.612
0.498,0.766,0.539,0.723,0.004,0.169,0.579,0.535
0.457,0.734,0.493,0.76,0.007,0.16,0.479,0.433
0.439,0.694,0.453,0.782,0.017,0.152,0.403,0.367
0.438,0.674,0.41,0.789,0.038,0.157,0.347,0.342
0.438,0.651,0.364,0.785,0.066,0.175,0.322,0.404
0.434,0.594,0.33,0.784,0.087,0.179,0.308,0.523
0.495,0.604,0.366,0.773,0.107,0.163,0.316,0.637
0.612,0.666,0.422,0.775,0.117,0.143,0.309,0.697
0.658,0.702,0.418,0.784,0.111,0.133,0.288,0.688
0.665,0.707,0.387,0.827,0.103,0.157,0.26,0.658
0.667,0.684,0.348,0.829,0.096,0.192,0.266,0.589
0.676,0.634,0.316,0.814,0.084,0.232,0.33,0.485
0.697,0.587,0.285,0.722,0.067,0.257,0.458,0.41
0.694,0.55,0.232,0.622,0.053,0.28,0.558,0.364
0.698,0.511,0.195,0.549,0.046,0.31,0.665,0.364
0.696,0.466,0.181,0.508,0.043,0.322,0.718,0.4
0.679,0.458,0.175,0.494,0.036,0.285,0.827,0.465
0.658,0.486,0.165,0.457,0.028,0.231,0.884,0.535
0.628,0.51,0.162,0.417,0.019,0.214,0.936,0.583
0.56,0.526,0.159,0.381,0.009,0.229,0.961,0.61
0.457,0.489,0.135,0.29,0.004,0.229,0.972,0.61
0.349,0.459,0.112,0.189,0.005,0.223,0.981,0.617
0.212,0.529,0.119,0.093,0.006,0.227,0.985,0.58
0.145,0.622,0.14,0.048,0.006,0.231,0.98,0.496
0.118,0.646,0.156,0.02,0.006,0.228,0.974,0.411
0.109,0.629,0.152,0.004,0.011,0.22,0.966,0.354
0.104,0.581,0.129,0.007,0.025,0.209,0.952,0.344
0.096,0.508,0.101,0.017,0.049,0.189,0.935,0.375
0.085,0.427,0.093,0.035,0.081,0.168,0.926,0.428
0.06,0.358,0.109,0.043,0.111,0.15,0.924,0.469
0.066,0.392,0.163,0.041,0.149,0.135,0.915,0.5
0.14,0.554,0.252,0.035,0.187,0.122,0.901,0.519
0.231,0.699,0.341,0.039,0.223,0.109,0.892,0.488
0.282,0.781,0.404,0.057,0.27,0.105,0.89,0.439
0.308,0.798,0.422,0.084,0.309,0.112,0.859,0.379
0.333,0.773,0.411,0.123,0.335,0.116,0.82,0.348
0.342,0.726,0.395,0.161,0.345,0.116,0.812,0.345
0.337,0.68,0.375,0.187,0.349,0.118,0.77,0.349
0.361,0.627,0.358,0.199,0.348,0.12,0.799,0.349
0.393,0.58,0.347,0.206,0.34,0.116,0.872,0.334
0.393,0.575,0.338,0.208,0.335,0.104,0.886,0.333
0.373,0.571,0.339,0.189,0.328,0.093,0.903,0.337
0.341,0.565,0.349,0.16,0.309,0.085,0.927,0.333
0.299,0.563,0.387,0.142,0.286,0.076,0.94,0.318
0.196,0.593,0.404,0.134,0.226,0.061,0.942,0.302
0.132,0.614,0.434,0.139,0.198,0.052,0.952,0.328
0.082,0.63,0.491,0.148,0.199,0.057,0.943,0.341
0.046,0.626,0.535,0.141,0.182,0.053,0.929,0.348
0.03,0.578,0.555,0.121,0.166,0.041,0.913,0.373
0.028,0.493,0.537,0.087,0.154,0.03,0.895,0.428
0.029,0.419,0.485,0.054,0.143,0.025,0.881,0.506
0.028,0.398,0.41,0.041,0.148,0.021,0.878,0.588
0.022,0.412,0.351,0.056,0.178,0.017,0.89,0.67
0.016,0.465,0.328,0.107,0.214,0.013,0.898,0.726
0.018,0.615,0.382,0.198,0.277,0.02,0.889,0.744
0.024,0.779,0.496,0.286,0.402,0.036,0.865,0.733
0.047,0.831,0.568,0.337,0.513,0.047,0.824,0.684
0.09,0.844,0.579,0.345,0.554,0.06,0.781,0.621
0.129,0.805,0.566,0.33,0.537,0.074,0.733,0.559
0.156,0.764,0.573,0.299,0.492,0.093,0.672,0.513
0.179,0.746,0.62,0.27,0.45,0.109,0.622,0.485
0.2,0.704,0.651,0.269,0.422,0.114,0.583,0.464
0.208,0.712,0.648,0.285,0.4,0.108,0.568,0.441
0.206,0.68,0.622,0.301,0.362,0.093,0.607,0.41
0.192,0.707,0.61,0.319,0.3,0.081,0.628,0.366
0.176,0.722,0.572,0.348,0.279,0.08,0.623,0.322
0.172,0.741,0.563,0.376,0.268,0.082,0.578,0.299
0.178,0.745,0.555,0.364,0.214,0.075,0.498,0.277
0.147,0.745,0.504,0.279,0.129,0.061,0.413,0.27
0.068,0.737,0.589,0.209,0.045,0.058,0.498,0.257
0.02,0.643,0.598,0.175,0.012,0.05,0.518,0.216
0.01,0.528,0.564,0.135,0.006,0.045,0.509,0.18
0.015,0.449,0.545,0.099,0.006,0.046,0.508,0.164
0.022,0.41,0.55,0.072,0.007,0.055,0.51,0.176
0.023,0.383,0.569,0.061,0.013,0.068,0.523,0.222
0.022,0.372,0.584,0.065,0.022,0.079,0.55,0.296
0.024,0.376,0.578,0.08,0.03,0.086,0.598,0.408
0.03,0.373,0.55,0.114,0.038,0.087,0.607,0.525
0.053,0.419,0.538,0.175,0.045,0.103,0.578,0.623
0.082,0.567,0.547,0.229,0.069,0.127,0.522,0.679
0.109,0.709,0.523,0.247,0.114,0.142,0.461,0.638
0.135,0.77,0.482,0.228,0.166,0.143,0.41,0.553
0.159,0.812,0.434,0.195,0.17,0.107,0.381,0.451
0.189,0.809,0.41,0.167,0.134,0.061,0.345,0.361
0.242,0.761,0.429,0.152,0.105,0.033,0.305,0.294
0.325,0.701,0.486,0.147,0.093,0.031,0.28,0.239
0.41,0.639,0.541,0.142,0.099,0.052,0.275,0.197
0.459,0.576,0.555,0.134,0.12,0.059,0.274,0.173
0.477,0.541,0.51,0.12,0.145,0.053,0.296,0.183
0.5,0.529,0.439,0.108,0.158,0.053,0.34,0.216
0.538,0.529,0.407,0.099,0.163,0.069,0.406,0.25
0.537,0.52,0.385,0.096,0.17,0.087,0.439,0.249
0.395,0.498,0.289,0.076,0.151,0.085,0.373,0.227
0.285,0.445,0.23,0.051,0.099,0.067,0.457,0.219
0.274,0.342,0.259,0.037,0.095,0.054,0.488,0.188
0.21,0.255,0.301,0.035,0.09,0.062,0.447,0.14
0.173,0.201,0.309,0.039,0.082,0.079,0.406,0.098
0.158,0.168,0.299,0.033,0.066,0.097,0.364,0.072
0.153,0.144,0.261,0.021,0.05,0.128,0.325,0.09
0.148,0.127,0.209,0.011,0.039,0.174,0.29,0.156
0.132,0.118,0.16,0.006,0.039,0.244,0.239,0.241
0.111,0.12,0.126,0.005,0.051,0.316,0.17,0.319
0.157,0.158,0.13,0.016,0.093,0.387,0.109,0.364
0.233,0.273,0.162,0.038,0.196,0.461,0.055,0.34
0.258,0.422,0.184,0.059,0.354,0.523,0.017,0.305
0.223,0.557,0.192,0.072,0.498,0.529,0.008,0.281
0.179,0.641,0.183,0.07,0.558,0.498,0.043,0.268
0.152,0.651,0.168,0.059,0.532,0.455,0.094,0.265
0.136,0.593,0.155,0.046,0.476,0.419,0.124,0.251
0.138,0.494,0.143,0.036,0.432,0.391,0.121,0.244
0.141,0.395,0.125,0.031,0.394,0.395,0.103,0.232
0.169,0.364,0.104,0.031,0.339,0.407,0.096,0.225
0.196,0.41,0.093,0.032,0.308,0.429,0.099,0.218
0.227,0.488,0.088,0.029,0.308,0.421,0.108,0.214
0.255,0.563,0.085,0.023,0.325,0.382,0.112,0.221
0.262,0.587,0.086,0.019,0.333,0.313,0.105,0.215
0.192,0.523,0.083,0.014,0.302,0.225,0.068,0.16
0.113,0.536,0.064,0.01,0.27,0.184,0.051,0.14
0.073,0.545,0.057,0.007,0.244,0.187,0.052,0.109
0.053,0.482,0.086,0.013,0.219,0.234,0.053,0.068
0.041,0.396,0.098,0.017,0.25,0.28,0.069,0.028
0.041,0.304,0.112,0.024,0.314,0.274,0.101,0.012
0.057,0.216,0.127,0.034,0.378,0.21,0.128,0.04
0.094,0.154,0.151,0.044,0.43,0.158,0.136,0.088
0.159,0.109,0.203,0.058,0.484,0.148,0.127,0.149
0.223,0.07,0.299,0.087,0.531,0.167,0.105,0.216
0.36,0.041,0.435,0.131,0.574,0.229,0.084,0.274
0.571,0.029,0.547,0.182,0.651,0.34,0.053,0.292
0.67,0.036,0.573,0.232,0.694,0.425,0.024,0.267
0.725,0.069,0.556,0.277,0.679,0.476,0.006,0.268
0.762,0.14,0.519,0.3,0.664,0.529,0.008,0.324
0.74,0.25,0.479,0.299,0.651,0.605,0.032,0.375
0.682,0.364,0.44,0.286,0.599,0.633,0.076,0.39
0.596,0.447,0.401,0.261,0.547,0.586,0.114,0.4
0.571,0.484,0.364,0.234,0.51,0.529,0.126,0.392
0.627,0.495,0.334,0.21,0.458,0.578,0.116,0.38
0.653,0.514,0.323,0.194,0.424,0.697,0.096,0.35
0.66,0.537,0.328,0.175,0.446,0.788,0.081,0.333
0.704,0.552,0.341,0.15,0.498,0.807,0.081,0.349
0.716,0.55,0.354,0.123,0.523,0.789,0.097,0.322
0.797,0.489,0.322,0.109,0.504,0.789,0.103,0.343
0.889,0.445,0.304,0.109,0.542,0.789,0.091,0.343
0.938,0.476,0.334,0.129,0.571,0.73,0.095,0.286
0.962,0.55,0.425,0.167,0.508,0.654,0.105,0.214
0.968,0.621,0.539,0.182,0.464,0.596,0.13,0.136
0.967,0.654,0.594,0.202,0.474,0.568,0.177,0.079
0.963,0.668,0.627,0.255,0.515,0.556,0.232,0.048
0.959,0.665,0.648,0.318,0.56,0.543,0.277,0.047
0.958,0.589,0.661,0.362,0.623,0.481,0.283,0.098
0.954,0.473,0.653,0.388,0.668,0.379,0.252,0.191
0.935,0.451,0.701,0.435,0.685,0.3,0.212,0.301
0.917,0.529,0.741,0.499,0.746,0.304,0.185,0.41
0.902,0.632,0.72,0.523,0.773,0.354,0.171,0.495
0.898,0.675,0.677,0.523,0.759,0.408,0.156,0.566
0.893,0.689,0.64,0.52,0.744,0.464,0.155,0.545
0.878,0.679,0.604,0.508,0.721,0.476,0.166,0.495
0.852,0.655,0.571,0.49,0.693,0.424,0.209,0.479
0.836,0.623,0.541,0.467,0.69,0.344,0.285,0.488
0.835,0.593,0.518,0.447,0.668,0.266,0.379,0.486
0.85,0.571,0.501,0.427,0.623,0.214,0.479,0.468
0.869,0.554,0.498,0.384,0.574,0.166,0.543,0.472
0.876,0.535,0.497,0.344,0.523,0.129,0.587,0.503
0.878,0.523,0.5,0.325,0.478,0.11,0.622,0.563
0.865,0.51,0.495,0.313,0.418,0.089,0.63,0.581
0.87,0.447,0.413,0.271,0.349,0.06,0.578,0.652
0.856,0.4,0.361,0.238,0.465,0.056,0.717,0.728
0.817,0.407,0.394,0.226,0.479,0.072,0.769,0.711
0.773,0.464,0.476,0.293,0.432,0.088,0.758,0.67
0.733,0.519,0.491,0.358,0.397,0.126,0.759,0.658
0.713,0.532,0.476,0.398,0.392,0.184,0.761,0.668
0.718,0.527,0.475,0.439,0.398,0.244,0.749,0.7
0.733,0.522,0.488,0.479,0.41,0.268,0.726,0.748
0.735,0.529,0.532,0.5,0.435,0.247,0.695,0.784
0.725,0.523,0.594,0.521,0.463,0.195,0.641,0.782
0.733,0.568,0.694,0.554,0.498,0.133,0.592,0.781
0.774,0.63,0.766,0.574,0.589,0.094,0.546,0.777
0.779,0.658,0.766,0.554,0.662,0.065,0.481,0.795
0.754,0.644,0.733,0.542,0.68,0.049,0.45,0.787
0.709,0.618,0.658,0.532,0.663,0.046,0.445,0.805
0.653,0.598,0.605,0.52,0.639,0.048,0.435,0.815
0.596,0.58,0.587,0.493,0.607,0.053,0.401,0.81
0.56,0.558,0.563,0.451,0.554,0.058,0.361,0.796
0.545,0.564,0.519,0.41,0.501,0.061,0.295,0.787
0.538,0.588,0.479,0.385,0.469,0.06,0.26,0.785
0.598,0.602,0.438,0.345,0.454,0.054,0.282,0.766
0.637,0.608,0.387,0.301,0.454,0.047,0.303,0.744
0.628,0.616,0.346,0.262,0.457,0.045,0.299,0.726
0.561,0.624,0.318,0.252,0.434,0.045,0.299,0.694
0.496,0.563,0.244,0.244,0.361,0.044,0.29,0.686
0.447,0.491,0.191,0.221,0.367,0.054,0.322,0.724
0.357,0.511,0.186,0.208,0.389,0.067,0.36,0.751
0.291,0.54,0.208,0.219,0.411,0.074,0.324,0.716
0.255,0.535,0.224,0.224,0.42,0.09,0.28,0.668
0.205,0.498,0.203,0.219,0.438,0.117,0.232,0.667
0.16,0.443,0.174,0.207,0.462,0.143,0.173,0.698
0.134,0.375,0.15,0.205,0.481,0.161,0.115,0.701
0.103,0.304,0.142,0.221,0.491,0.176,0.063,0.658
0.067,0.223,0.147,0.26,0.476,0.183,0.045,0.547
0.038,0.215,0.17,0.329,0.47,0.186,0.108,0.434
0.021,0.26,0.212,0.376,0.535,0.197,0.197,0.347
0.013,0.344,0.237,0.364,0.618,0.183,0.279,0.261
0.021,0.439,0.237,0.324,0.644,0.155,0.356,0.191
0.045,0.532,0.241,0.28,0.637,0.136,0.382,0.138
0.099,0.612,0.255,0.241,0.604,0.128,0.378,0.107
0.165,0.66,0.273,0.197,0.587,0.118,0.372,0.093
0.216,0.675,0.307,0.149,0.554,0.104,0.369,0.088
0.278,0.652,0.341,0.103,0.524,0.086,0.364,0.084
0.347,0.615,0.352,0.064,0.495,0.072,0.352,0.071
0.428,0.61,0.319,0.036,0.448,0.066,0.341,0.06
0.486,0.617,0.28,0.019,0.41,0.059,0.333,0.05
0.503,0.612,0.263,0.011,0.389,0.06,0.307,0.04
0.422,0.579,0.248,0.013,0.373,0.063,0.252,0.035
0.255,0.513,0.187,0.015,0.354,0.053,0.176,0.031
0.179,0.464,0.13,0.017,0.342,0.074,0.106,0.029
0.133,0.44,0.116,0.021,0.385,0.086,0.104,0.054
0.088,0.451,0.121,0.02,0.407,0.098,0.155,0.084
0.055,0.495,0.138,0.018,0.429,0.115,0.211,0.125
0.034,0.491,0.171,0.025,0.449,0.129,0.247,0.166
0.019,0.458,0.176,0.04,0.464,0.133,0.267,0.199
0.011,0.429,0.153,0.066,0.476,0.142,0.275,0.195
0.011,0.395,0.115,0.098,0.488,0.156,0.268,0.134
0.018,0.313,0.098,0.138,0.482,0.173,0.244,0.078
0.057,0.246,0.105,0.168,0.479,0.214,0.226,0.036
0.102,0.219,0.126,0.179,0.534,0.275,0.223,0.009
0.125,0.224,0.146,0.171,0.568,0.301,0.22,0.023
0.122,0.233,0.152,0.158,0.578,0.313,0.187,0.055
0.087,0.231,0.135,0.154,0.58,0.341,0.151,0.08
0.045,0.237,0.103,0.156,0.571,0.366,0.163,0.109
0.018,0.269,0.075,0.154,0.554,0.373,0.205,0.159
0.011,0.312,0.068,0.155,0.535,0.368,0.251,0.219
0.023,0.335,0.082,0.159,0.508,0.354,0.27,0.274
0.049,0.331,0.098,0.163,0.483,0.34,0.29,0.301
0.082,0.278,0.099,0.152,0.463,0.313,0.305,0.281
0.111,0.221,0.086,0.133,0.457,0.274,0.333,0.245
0.138,0.199,0.067,0.124,0.457,0.221,0.387,0.2
0.149,0.17,0.045,0.128,0.442,0.176,0.415,0.157
0.14,0.121,0.024,0.147,0.393,0.143,0.405,0.15
0.187,0.097,0.013,0.177,0.337,0.127,0.403,0.171
0.26,0.094,0.011,0.206,0.281,0.1,0.386,0.176
0.361,0.107,0.012,0.237,0.234,0.122,0.365,0.162
0.454,0.124,0.015,0.254,0.216,0.154,0.318,0.161
0.523,0.149,0.026,0.247,0.201,0.167,0.278,0.293
0.563,0.179,0.048,0.23,0.174,0.163,0.287,0.262
0.572,0.21,0.081,0.227,0.133,0.151,0.44,0.154
0.566,0.237,0.123,0.239,0.095,0.144,0.455,0.138
0.526,0.245,0.165,0.269,0.066,0.152,0.301,0.168
0.422,0.232,0.18,0.328,0.051,0.196,0.179,0.177
0.355,0.229,0.173,0.393,0.044,0.25,0.135,0.197
0.299,0.233,0.166,0.415,0.046,0.28,0.127,0.275
0.241,0.239,0.179,0.399,0.056,0.278,0.134,0.341
0.202,0.247,0.203,0.378,0.071,0.274,0.148,0.365
0.184,0.249,0.229,0.358,0.096,0.268,0.164,0.331
0.189,0.251,0.252,0.34,0.136,0.255,0.151,0.454
0.21,0.246,0.274,0.32,0.214,0.231,0.109,0.561
0.237,0.236,0.293,0.318,0.33,0.209,0.08,0.54
0.26,0.225,0.316,0.324,0.407,0.196,0.112,0.492
0.274,0.219,0.351,0.323,0.42,0.198,0.184,0.416
0.261,0.216,0.392,0.312,0.41,0.215,0.183,0.312
0.241,0.214,0.404,0.291,0.398,0.237,0.184,0.293
0.234,0.202,0.423,0.247,0.391,0.255,0.19,0.319
0.27,0.194,0.429,0.203,0.308,0.197,0.189,0.342
0.296,0.193,0.434,0.226,0.252,0.117,0.175,0.349
0.342,0.196,0.397,0.227,0.268,0.086,0.175,0.389
0.397,0.217,0.349,0.191,0.288,0.078,0.223,0.457
0.439,0.266,0.322,0.136,0.327,0.083,0.266,0.51
0.473,0.33,0.306,0.09,0.358,0.081,0.273,0.517
0.498,0.386,0.295,0.064,0.366,0.066,0.266,0.502
0.51,0.431,0.299,0.06,0.341,0.045,0.247,0.519
0.495,0.45,0.304,0.072,0.305,0.026,0.21,0.476
0.454,0.444,0.293,0.108,0.24,0.018,0.163,0.4
0.386,0.427,0.267,0.165,0.166,0.021,0.116,0.354
0.342,0.429,0.232,0.226,0.113,0.042,0.095,0.381
0.3,0.451,0.195,0.27,0.071,0.076,0.114,0.415
0.244,0.455,0.142,0.313,0.056,0.114,0.183,0.437
0.198,0.43,0.109,0.393,0.062,0.143,0.296,0.493
0.168,0.401,0.096,0.499,0.086,0.154,0.412,0.542
0.156,0.352,0.092,0.618,0.119,0.153,0.515,0.533
0.178,0.309,0.103,0.715,0.149,0.15,0.61,0.52
0.205,0.281,0.13,0.777,0.16,0.154,0.703,0.55
0.231,0.266,0.194,0.802,0.159,0.181,0.775,0.607
0.245,0.26,0.314,0.78,0.155,0.249,0.825,0.686
0.242,0.254,0.531,0.738,0.155,0.352,0.861,0.776
0.223,0.241,0.748,0.711,0.161,0.444,0.871,0.816
0.197,0.213,0.856,0.687,0.175,0.483,0.87,0.812
0.207,0.181,0.895,0.687,0.151,0.446,0.902,0.783
0.219,0.158,0.892,0.679,0.129,0.516,0.92,0.747
0.233,0.163,0.883,0.676,0.14,0.598,0.897,0.742
0.263,0.227,0.872,0.701,0.154,0.653,0.86,0.76
0.307,0.358,0.87,0.757,0.158,0.701,0.833,0.786
0.337,0.498,0.881,0.818,0.136,0.732,0.853,0.807
0.34,0.629,0.9,0.876,0.096,0.758,0.876,0.818
0.323,0.777,0.914,0.93,0.055,0.787,0.902,0.827
0.282,0.896,0.923,0.963,0.042,0.809,0.925,0.837
0.23,0.945,0.915,0.975,0.063,0.82,0.928,0.847
0.171,0.952,0.896,0.975,0.12,0.835,0.913,0.857
0.123,0.95,0.898,0.975,0.229,0.845,0.904,0.867
0.073,0.948,0.906,0.973,0.398,0.824,0.884,0.891
0.034,0.949,0.892,0.973,0.561,0.816,0.886,0.916
0.017,0.955,0.853,0.975,0.655,0.794,0.909,0.93
0.017,0.953,0.825,0.977,0.665,0.782,0.917,0.936
0.027,0.941,0.797,0.978,0.63,0.767,0.918,0.947
0.035,0.92,0.787,0.979,0.596,0.761,0.909,0.956
0.034,0.9,0.787,0.979,0.564,0.756,0.903,0.96
0.031,0.887,0.778,0.979,0.529,0.727,0.931,0.963
0.028,0.866,0.782,0.976,0.473,0.701,0.964,0.961
0.02,0.844,0.807,0.969,0.437,0.671,0.975,0.96
0.014,0.829,0.828,0.962,0.449,0.639,0.987,0.959
0.016,0.828,0.843,0.953,0.454,0.575,0.991,0.957
0.017,0.859,0.853,0.944,0.433,0.491,0.988,0.946
0.02,0.876,0.878,0.943,0.419,0.427,0.987,0.922
0.032,0.873,0.88,0.944,0.385,0.372,0.988,0.898
0.049,0.877,0.872,0.943,0.322,0.312,0.99,0.903
0.071,0.888,0.859,0.94,0.26,0.266,0.99,0.914
0.093,0.905,0.848,0.936,0.199,0.241,0.989,0.922
0.109,0.921,0.838,0.933,0.135,0.216,0.989,0.927
0.118,0.933,0.825,0.931,0.093,0.189,0.987,0.929
0.118,0.938,0.81,0.926,0.07,0.165,0.986,0.941
0.109,0.934,0.799,0.914,0.063,0.142,0.987,0.958
0.106,0.924,0.781,0.896,0.084,0.141,0.988,0.973
0.093,0.912,0.775,0.881,0.153,0.172,0.989,0.983
0.066,0.909,0.768,0.861,0.265,0.222,0.99,0.988
0.042,0.902,0.747,0.828,0.376,0.268,0.991,0.99
0.021,0.902,0.705,0.801,0.436,0.316,0.99,0.991
0.013,0.904,0.646,0.773,0.411,0.358,0.991,0.99
0.015,0.9,0.575,0.751,0.34,0.379,0.991,0.989
0.02,0.893,0.492,0.731,0.296,0.376,0.99,0.989
0.02,0.879,0.415,0.709,0.325,0.353,0.986,0.989
0.017,0.862,0.349,0.689,0.414,0.323,0.979,0.989
0.015,0.831,0.307,0.679,0.516,0.324,0.973,0.989
0.022,0.802,0.281,0.675,0.612,0.361,0.97,0.989
0.035,0.784,0.253,0.653,0.671,0.382,0.971,0.989
0.043,0.765,0.225,0.6,0.668,0.381,0.974,0.989
0.033,0.74,0.185,0.564,0.668,0.381,0.974,0.989
0.029,0.697,0.153,0.572,0.664,0.561,0.974,0.99
0.028,0.594,0.122,0.554,0.668,0.716,0.973,0.99
0.028,0.488,0.102,0.537,0.723,0.798,0.97,0.991
0.028,0.427,0.093,0.535,0.785,0.846,0.968,0.991
0.023,0.407,0.093,0.547,0.816,0.877,0.965,0.99
0.016,0.413,0.1,0.566,0.828,0.875,0.962,0.99
0.009,0.44,0.114,0.587,0.836,0.851,0.964,0.99
0.006,0.457,0.131,0.598,0.846,0.808,0.967,0.989
0.008,0.438,0.151,0.592,0.849,0.748,0.973,0.989
0.017,0.379,0.171,0.571,0.829,0.667,0.979,0.987
0.033,0.328,0.203,0.56,0.805,0.61,0.983,0.987
0.057,0.293,0.221,0.536,0.811,0.575,0.987,0.988
0.085,0.291,0.212,0.491,0.83,0.539,0.99,0.987
0.107,0.337,0.21,0.447,0.841,0.529,0.991,0.985
0.132,0.4,0.219,0.394,0.816,0.535,0.99,0.981
0.147,0.454,0.227,0.327,0.777,0.532,0.989,0.969
0.15,0.489,0.241,0.261,0.736,0.505,0.988,0.945
0.141,0.516,0.255,0.209,0.707,0.47,0.988,0.913
0.114,0.552,0.274,0.176,0.71,0.426,0.987,0.884
0.086,0.581,0.265,0.163,0.682,0.36,0.984,0.87
0.051,0.596,0.232,0.161,0.627,0.304,0.979,0.866
0.026,0.591,0.204,0.164,0.578,0.266,0.969,0.859
0.02,0.552,0.18,0.163,0.529,0.241,0.946,0.84
0.029,0.501,0.147,0.155,0.473,0.239,0.92,0.809
0.057,0.51,0.163,0.163,0.417,0.247,0.876,0.758
0.061,0.505,0.163,0.171,0.385,0.245,0.816,0.701
0.044,0.492,0.157,0.166,0.382,0.227,0.773,0.65
0.06,0.483,0.16,0.152,0.417,0.209,0.742,0.605
0.132,0.467,0.162,0.143,0.465,0.207,0.726,0.566
0.27,0.444,0.157,0.143,0.515,0.2,0.728,0.516
0.487,0.421,0.159,0.136,0.547,0.19,0.735,0.466
0.64,0.404,0.172,0.112,0.526,0.17,0.728,0.416
0.68,0.389,0.176,0.079,0.491,0.14,0.722,0.346
0.647,0.385,0.16,0.067,0.433,0.122,0.74,0.28
0.545,0.407,0.149,0.098,0.415,0.118,0.781,0.222
0.429,0.422,0.125,0.184,0.432,0.12,0.813,0.186
0.385,0.407,0.091,0.308,0.431,0.131,0.825,0.171
0.392,0.373,0.062,0.434,0.42,0.149,0.817,0.174
0.429,0.34,0.057,0.539,0.417,0.179,0.799,0.165
0.506,0.308,0.08,0.611,0.414,0.229,0.781,0.136
0.615,0.29,0.13,0.663,0.407,0.306,0.764,0.101
0.671,0.274,0.216,0.685,0.395,0.392,0.752,0.067
0.687,0.251,0.324,0.7,0.373,0.473,0.733,0.04
0.66,0.221,0.43,0.742,0.346,0.538,0.691,0.025
0.64,0.195,0.516,0.803,0.348,0.58,0.624,0.014
0.643,0.164,0.575,0.861,0.394,0.602,0.553,0.009
0.617,0.122,0.586,0.898,0.464,0.593,0.454,0.008
0.707,0.081,0.547,0.935,0.482,0.593,0.363,0.007
0.732,0.057,0.562,0.968,0.508,0.632,0.271,0.007
0.714,0.046,0.659,0.973,0.523,0.682,0.196,0.011
0.697,0.03,0.707,0.968,0.578,0.715,0.15,0.027
0.685,0.025,0.737,0.95,0.636,0.725,0.102,0.057
0.663,0.033,0.748,0.932,0.697,0.726,0.065,0.088
0.629,0.057,0.743,0.913,0.76,0.739,0.042,0.123
0.563,0.095,0.723,0.875,0.808,0.754,0.029,0.198
