occ,naq,bre,hdf,pll,nor,pac,cor
0.858,0.622,0.624,0.891,0.21,0.373,0.987,0.822
0.867,0.574,0.604,0.897,0.205,0.367,0.976,0.782
0.87,0.491,0.581,0.895,0.206,0.38,0.969,0.73
0.867,0.404,0.549,0.886,0.204,0.395,0.979,0.702
0.866,0.324,0.507,0.875,0.194,0.407,0.99,0.652
0.848,0.244,0.451,0.863,0.175,0.405,0.988,0.605
0.88,0.169,0.378,0.841,0.14,0.369,0.984,0.662
0.89,0.109,0.306,0.839,0.115,0.343,0.978,0.744
0.9,0.076,0.266,0.825,0.106,0.337,0.97,0.874
0.922,0.06,0.262,0.79,0.094,0.36,0.96,0.962
0.941,0.06,0.266,0.749,0.116,0.385,0.954,0.982
0.949,0.065,0.272,0.706,0.15,0.384,0.947,0.969
0.959,0.082,0.27,0.672,0.187,0.383,0.935,0.974
0.966,0.109,0.257,0.665,0.226,0.389,0.938,0.988
0.967,0.129,0.247,0.652,0.239,0.392,0.951,0.991
0.964,0.141,0.247,0.641,0.239,0.391,0.962,0.989
0.963,0.157,0.236,0.633,0.241,0.39,0.97,0.984
0.965,0.187,0.206,0.619,0.245,0.382,0.972,0.981
0.968,0.223,0.16,0.598,0.25,0.37,0.967,0.987
0.971,0.252,0.119,0.558,0.267,0.37,0.949,0.99
0.973,0.26,0.087,0.508,0.293,0.377,0.924,0.978
0.973,0.245,0.07,0.457,0.31,0.388,0.9,0.95
0.973,0.21,0.064,0.407,0.303,0.376,0.893,0.915
0.971,0.17,0.065,0.353,0.267,0.358,0.932,0.874
0.966,0.122,0.061,0.274,0.213,0.369,0.968,0.805
0.961,0.077,0.074,0.191,0.16,0.383,0.986,0.712
0.954,0.046,0.105,0.129,0.126,0.381,0.991,0.602
0.952,0.027,0.132,0.087,0.107,0.366,0.988,0.487
0.953,0.02,0.168,0.069,0.097,0.354,0.983,0.376
0.952,0.021,0.256,0.085,0.094,0.337,0.978,0.285
0.956,0.025,0.346,0.135,0.076,0.318,0.972,0.235
0.965,0.02,0.399,0.191,0.057,0.274,0.965,0.225
0.976,0.018,0.473,0.274,0.072,0.254,0.953,0.277
0.983,0.018,0.571,0.37,0.095,0.26,0.94,0.378
0.985,0.023,0.638,0.466,0.091,0.26,0.938,0.483
0.982,0.032,0.697,0.543,0.081,0.263,0.953,0.55
0.978,0.038,0.769,0.639,0.068,0.318,0.969,0.575
0.971,0.043,0.831,0.73,0.067,0.373,0.974,0.556
0.966,0.07,0.857,0.811,0.08,0.4,0.966,0.486
0.958,0.141,0.848,0.857,0.087,0.404,0.943,0.395
0.956,0.209,0.816,0.887,0.093,0.392,0.913,0.366
0.953,0.274,0.746,0.909,0.122,0.363,0.872,0.4
0.948,0.346,0.679,0.92,0.174,0.305,0.849,0.466
0.946,0.408,0.612,0.93,0.221,0.245,0.849,0.522
0.947,0.458,0.565,0.918,0.246,0.203,0.835,0.541
0.948,0.49,0.567,0.873,0.261,0.181,0.761,0.545
0.947,0.519,0.606,0.808,0.26,0.149,0.61,0.524
0.947,0.547,0.707,0.743,0.247,0.115,0.495,0.479
0.948,0.568,0.751,0.679,0.245,0.085,0.481,0.443
0.947,0.585,0.823,0.605,0.255,0.067,0.542,0.428
0.945,0.66,0.837,0.528,0.266,0.087,0.649,0.422
0.945,0.752,0.848,0.53,0.282,0.151,0.717,0.414
0.944,0.772,0.842,0.697,0.307,0.238,0.744,0.403
0.941,0.775,0.817,0.837,0.296,0.329,0.761,0.377
0.951,0.75,0.768,0.904,0.23,0.394,0.768,0.332
0.95,0.7,0.766,0.841,0.154,0.427,0.781,0.278
0.952,0.711,0.843,0.736,0.12,0.516,0.813,0.237
0.954,0.708,0.892,0.712,0.115,0.623,0.866,0.224
0.954,0.773,0.936,0.724,0.109,0.66,0.9,0.228
0.946,0.804,0.961,0.708,0.114,0.678,0.906,0.274
0.931,0.825,0.966,0.676,0.145,0.754,0.9,0.399
0.931,0.844,0.958,0.648,0.2,0.802,0.894,0.554
0.927,0.87,0.947,0.615,0.257,0.824,0.908,0.639
0.918,0.9,0.929,0.578,0.285,0.859,0.94,0.66
0.9,0.917,0.894,0.571,0.292,0.885,0.959,0.674
0.901,0.928,0.85,0.563,0.291,0.897,0.967,0.703
0.903,0.939,0.791,0.588,0.293,0.924,0.952,0.787
0.91,0.938,0.735,0.609,0.355,0.928,0.913,0.883
0.917,0.925,0.753,0.596,0.407,0.916,0.85,0.921
0.923,0.907,0.721,0.572,0.434,0.901,0.796,0.902
0.931,0.884,0.648,0.536,0.494,0.866,0.753,0.838
0.936,0.866,0.622,0.466,0.551,0.842,0.733,0.815
0.939,0.825,0.62,0.422,0.61,0.849,0.811,0.866
