h;agg
382;995,803347979
383;1008,757631725
384;1027,257867105
385;1041,476231106
386;1054,83535397
387;1071,826155329
388;1089,479574892
389;1109,674972779
390;1132,63301289
391;1154,105319235
392;1172,443031287
393;1180,085435736
394;1181,750329337
395;1178,330916394
396;1174,597313404
397;1175,415630481
398;1176,783294478
399;1183,624534561
400;1188,405532041
401;1187,437509126
402;1183,380183293
403;1174,818262378
404;1168,159572154
405;1164,090239455
406;1162,768269498
407;1165,119315238
408;1170,609499685
409;1178,162192947
410;1186,283061023
411;1189,940480967
412;1198,756651791
413;1202,959569874
414;1209,011687964
415;1219,700765627
416;1226,022292297
417;1233,526156583
418;1238,46916632
419;1243,217111109
420;1242,666163274
421;1242,686280554
422;1240,669372543
423;1241,54756789
424;1238,62466584
425;1234,600788021
426;1224,400407208
427;1206,544568167
428;1188,050790683
429;1165,42267282
430;1146,496097095
431;1133,912300517
432;1121,418345445
433;1111,391040633
434;1098,94293495
435;1081,258302768
436;1066,085241967
437;1047,628379247
438;1029,573846853
439;1014,813979404
440;1002,984649772
441;991,523718232
442;981,83425087
443;977,141350365
444;970,250229228
445;965,063723986
446;959,500051389
447;957,001593099
448;948,593331914
449;937,299208044
450;925,534075299
451;910,413786393
452;895,871642163
453;879,616792256
454;869,792100331
455;864,90215441
456;865,246449143
457;866,27735214
458;870,646855459
459;871,844466391
460;873,515501518
461;873,015371092
462;876,062084609
463;879,785477702
464;885,086905775
465;895,226676902
466;907,358592937
467;927,326143229
468;944,654814713
469;958,667056892
470;971,782890773
471;983,657231493
472;992,070544176
473;994,075783039
474;994,544511756
475;990,117565869
476;983,441160043
477;969,3054656
478;961,953901335
479;955,394963647
480;951,819076432
481;949,355604247
482;949,878552218
483;941,673080482
484;928,554078563
485;907,850591346
486;889,799632777
487;875,44423362
488;862,66988348
489;856,163819921
490;853,383630239
491;857,738550688
492;860,366193001
493;862,347418226
494;865,080733089
495;864,442727282
496;856,889259409
497;843,351641712
498;827,918594549
499;812,554270226
500;794,128386807
501;771,296127863
502;746,854129722
503;729,880931155
504;712,13230974
505;694,76871551
506;676,016378831
507;660,802371295
508;646,583600262
509;632,867808239
510;619,706508156
511;605,687754668
512;588,570621222
513;579,707263035
514;576,556809419
515;583,973719718
516;591,23776033
517;593,702696515
518;593,636249057
519;595,177586354
520;591,682472431
521;581,729658983
522;566,760192753
523;557,625069159
524;554,977063816
525;550,217403029
526;551,915390537
527;555,416075878
528;562,97414774
529;573,348429392
530;586,026397238
531;595,402628303
532;610,259097889
533;620,7587232
534;636,497408546
535;655,888512516
536;683,837335474
537;715,793338757
538;751,444778299
539;788,283815342
540;823,314200307
541;860,326479545
542;896,899527495
543;938,759843067
544;972,175186215
545;1003,338279982
546;1028,620122942
547;1052,017243241
548;1069,311693725
549;1083,701055389
550;1099,617133262
551;1118,251630282
552;1141,471557531
553;1161,258636011
554;1173,679166906
555;1185,631240285
556;1190,101525018
557;1191,80354131
558;1190,31091966
559;1183,375328648
560;1176,482626509
561;1181,539622636
562;1187,696065365
563;1198,651188585
564;1202,557000039
565;1208,05546131
566;1210,628864693
567;1206,210927909
568;1191,179489932
569;1172,467066406
570;1154,014845312
571;1132,407178548
572;1109,824724377
573;1083,400594261
574;1062,565056844
575;1037,866536659
576;1014,675225068
577;995,38150224
578;982,168977636
579;968,404518874
580;950,777462964
581;929,82603092
582;911,979616931
583;895,555251568
584;880,781895737
585;872,283238208
586;869,860475498
587;871,213970911
588;874,947307764
589;882,4996686
590;894,624932284
591;900,149979119
592;896,651036614
593;886,544315879
594;878,886848744
595;863,754800892
596;848,633602522
597;833,406965326
598;826,65031455
599;819,151452637
600;812,243163459
601;811,551277004
602;816,762957037
603;822,404209577
604;829,146730623
605;836,605330295
606;845,915496612
607;860,728576681
608;872,906234178
609;886,200715367
610;903,675585028
611;926,474794922
612;947,172409847
613;968,223538483
614;988,362885922
615;1005,714927463
616;1019,088565939
617;1026,305061114
618;1034,687328321
619;1035,334488763
620;1037,838742738
621;1043,121014665
622;1051,177649678
623;1061,606376773
624;1071,156455844
625;1078,194385758
626;1084,163363017
627;1089,995751834
628;1095,073553885
629;1102,529919571
630;1113,747127038
631;1119,883635419
632;1119,272922898
633;1116,354175164
634;1114,171464857
635;1112,413684252
636;1109,799793619
637;1102,16791877
638;1097,992809689
639;1094,240033271
640;1086,990954504
641;1078,114781699
642;1066,488806682
643;1052,166125635
644;1039,724996461
645;1025,788696156
646;1014,951614948
647;1005,986335896
648;995,769839661
649;990,524825293
650;977,156977719
651;960,670429228
652;947,715613351
653;933,370725705
654;921,569720127
655;915,55367377
656;910,960628436
657;909,065644137
658;904,89357721
659;895,959560665
660;885,201778621
661;877,661136713
662;874,782946608
663;871,718326467
664;865,673384435
665;857,784066015
666;848,603385639
667;838,648653355
668;824,308461288
669;805,74192954
670;790,90370148
671;776,614192173
672;766,142576289
673;758,652259068
674;746,792616943
675;736,730634894
676;725,505653262
677;709,549361519
678;694,221376442
679;682,327824856
680;675,622089811
681;672,115261154
682;667,701168152
683;666,629183711
684;660,391474027
685;657,367780804
686;651,783128165
687;649,503583578
688;646,926953567
689;649,546482433
690;645,732389508
691;651,167462865
692;657,352513034
693;663,009088126
694;675,554718867
695;687,715700291
696;706,841497464
697;724,109924421
698;747,532108323
699;774,761692532
700;801,480616417
701;821,793070578
702;844,354235144
703;862,014191429
704;880,986907493
705;902,184345796
706;931,591647568
707;977,888726724
708;1024,09264804
709;1067,509963793
710;1106,697490109
711;1146,432906094
712;1184,344141204
713;1216,499512436
714;1252,206883212
715;1269,087928032
716;1288,848772941
717;1305,774631071
718;1325,050457826
719;1345,976118589
720;1375,479568112
721;1394,700389786
722;1408,720162913
723;1421,063295786
724;1425,135300476
725;1426,121436659
726;1420,42061261
727;1417,899896395
728;1413,287366075
729;1412,082120603
730;1416,219653761
731;1430,71296954
